title,job_description,required_skills,required_experience,required_education
Frontend Developer,"Looking for a candidate with 1 years experience in Testing, Research, Collaboration, Leadership, Taxation, UX Design, Vue. Education required: High School.","Testing, Research, Collaboration, Leadership, Taxation, UX Design, Vue",10 years,PhD
Marketing Coordinator,"Looking for a candidate with 2 years experience in Scrum, Agile, C++, GCP, Data Analysis, Python, Django. Education required: Bachelors.","Scrum, Agile, C++, GCP, Data Analysis, Python, Django",7 years,Bachelors
Financial Analyst,"Looking for a candidate with 15 years experience in Financial Analysis, Docker, Scrum, Deep Learning. Education required: High School.","Financial Analysis, Docker, Scrum, Deep Learning",1 years,High School
UX Designer,"Looking for a candidate with 16 years experience in Python, Communication, Customer Support, Figma. Education required: Bachelors.","Python, Communication, Customer Support, Figma",6 years,PhD
Backend Developer,"Looking for a candidate with 2 years experience in Figma, Project Management, Tableau. Education required: PhD.","Figma, Project Management, Tableau",17 years,Masters
Human Resources Manager,"Looking for a candidate with 10 years experience in Testing, GCP, Tableau, C#, Taxation, Angular. Education required: High School.","Testing, GCP, Tableau, C#, Taxation, Angular",12 years,Masters
Healthcare Researcher,"Looking for a candidate with 11 years experience in Machine Learning, Django, Jira, Research, UX Design. Education required: PhD.","Machine Learning, Django, Jira, Research, UX Design",5 years,High School
Project Manager,"Looking for a candidate with 7 years experience in Tableau, Kubernetes, Taxation, Adobe Illustrator, C++, Customer Support. Education required: High School.","Tableau, Kubernetes, Taxation, Adobe Illustrator, C++, Customer Support",17 years,Masters
Marketing Coordinator,"Looking for a candidate with 4 years experience in GCP, SQL, AWS, Java. Education required: Bachelors.","GCP, SQL, AWS, Java",2 years,High School
SEO Specialist,"Looking for a candidate with 14 years experience in Flask, GCP, HTML, SQL, Node.js. Education required: Bachelors.","Flask, GCP, HTML, SQL, Node.js",2 years,PhD
Marketing Coordinator,"Looking for a candidate with 17 years experience in Flask, Testing, Collaboration. Education required: Masters.","Flask, Testing, Collaboration",19 years,Bachelors
DevOps Engineer,"Looking for a candidate with 11 years experience in Testing, Python, SQL, Adobe Illustrator, Java, Azure. Education required: PhD.","Testing, Python, SQL, Adobe Illustrator, Java, Azure",17 years,High School
Clinical Trial Associate,"Looking for a candidate with 2 years experience in Adobe Illustrator, Collaboration, Statistics. Education required: Masters.","Adobe Illustrator, Collaboration, Statistics",10 years,Masters
Software Engineer,"Looking for a candidate with 19 years experience in SEO, Taxation, Financial Analysis, Healthcare, C++, Django. Education required: High School.","SEO, Taxation, Financial Analysis, Healthcare, C++, Django",2 years,High School
Project Manager,"Looking for a candidate with 17 years experience in CSS, Flask, Java, Project Management, Collaboration. Education required: PhD.","CSS, Flask, Java, Project Management, Collaboration",13 years,PhD
Mechanical Engineer,"Looking for a candidate with 11 years experience in Healthcare, Project Management, Flask, Adobe Photoshop. Education required: Masters.","Healthcare, Project Management, Flask, Adobe Photoshop",8 years,PhD
Mechanical Engineer,"Looking for a candidate with 18 years experience in Machine Learning, Accounting, Flask, Project Management, Adobe Photoshop, Azure, Marketing. Education required: Masters.","Machine Learning, Accounting, Flask, Project Management, Adobe Photoshop, Azure, Marketing",20 years,High School
UX Designer,"Looking for a candidate with 16 years experience in Healthcare, C++, Leadership. Education required: Bachelors.","Healthcare, C++, Leadership",2 years,Bachelors
Backend Developer,"Looking for a candidate with 13 years experience in Python, Power BI, Collaboration, Java, UX Design. Education required: High School.","Python, Power BI, Collaboration, Java, UX Design",15 years,Bachelors
